State,Year,CVD_Death,Death_LL,Death_UL,CVD_Prevalence,Prev_LL,Prev_UL,CVD_Incidence,Inci_LL,Inci_UL
Jammu & Kashmir and Ladakh,2019,24179.8903225927,20663.898349644,28904.3132422382,644801.110626104,600977.596555854,689704.237027485,78859.8145609447,72520.3689945878,85278.1482811812
Jharkhand,2011,40862.0258593938,36551.6103867661,45738.5445891184,1259802.28107594,1167477.31918028,1356516.6340692,159199.264090523,146568.997370015,172608.642511644
Jharkhand,2012,45326.8314301537,40874.2079208663,49881.7636711216,1314977.26476307,1220443.02550536,1409191.75874929,164478.073188073,151690.173401668,177987.749714319
Jharkhand,2013,46504.44440984,42183.3419583987,51057.24294564,1368582.183289,1273898.84380884,1466675.39519602,169380.078869534,156387.993704234,183025.458632695
Jharkhand,2014,46075.7542769665,41232.9545425449,50736.5655277525,1421875.52100416,1323203.77680792,1523717.98948794,174255.036243225,160897.275117066,188134.055317829
Jharkhand,2015,45503.2298310778,41013.4374598545,50365.0390826108,1473753.40989275,1373379.02851369,1580918.0616174,179339.780664432,165002.942790297,193455.102108625
Jharkhand,2016,41885.8807247908,37418.0537451884,46485.3174124344,1525329.85718047,1417042.97583405,1634760.08706153,184312.850194487,169913.277212055,198779.667229345
Jharkhand,2017,40882.8429231559,35392.777935949,47196.1508177107,1579064.19288283,1462657.74233075,1699328.29949633,190041.704485941,174677.861442893,206692.661802181
Jharkhand,2018,42197.426928268,36145.7862593659,48669.6441288739,1634600.10403416,1516340.763369,1757059.28464155,197104.002494181,181358.362288796,214633.422857782
Jharkhand,2019,43685.7826115646,37010.2280298468,51043.0236957924,1685107.72355973,1566262.39144384,1809181.01418293,204002.504230811,187489.5550649,222536.264623606
Karnataka,2011,128485.431877108,117168.215706729,140062.185624009,3052972.96651155,2842242.38062249,3258106.39172522,394949.764294897,365991.250846112,427338.42679883
Karnataka,2012,136284.376390255,123234.918341715,148447.815982685,3174421.09131369,2954932.01356684,3379024.73510529,410430.676426543,380270.397396145,442671.404034603
Karnataka,2013,143168.754206762,130205.659152975,155378.557549771,3296851.25164927,3080552.37592394,3507116.39501493,426506.226856188,395809.751237835,459529.773373102
Karnataka,2014,147486.745096109,134446.211019243,161353.054039919,3412460.06793229,3188859.83982868,3625014.59568386,441673.138463281,410818.320543764,474741.566109868
Karnataka,2015,153943.249802997,139540.409768883,168312.818980311,3514354.33365194,3285989.81590587,3744535.74523549,454618.300806513,422475.039789021,489188.064541113
Karnataka,2016,162429.33455095,146211.743178723,179997.787527625,3608438.61902261,3368830.82967394,3845271.44084856,463321.459906109,429581.814980589,499593.389946802
Karnataka,2017,166372.603566435,145847.974321661,190289.709437731,3696542.88819347,3442589.33905677,3944278.82197545,471862.221491815,435640.426082753,510730.694272493
Karnataka,2018,170920.344600522,145789.70543537,200351.028413218,3776093.16148376,3525152.56972197,4026398.70097237,483224.495576962,446142.541509418,521681.68984089
Karnataka,2019,170633.507954508,141699.825264966,202245.672960311,3846016.79525559,3587017.13499974,4093078.33469541,494366.582362448,456109.641619633,534476.809207943
Kerala,2011,86931.8068721318,78083.8860712879,93955.2527131146,2357326.72786574,2211236.19814815,2510387.76792555,290294.311993682,267958.853641879,314078.924185552
Kerala,2012,87135.1050075031,77278.7451543485,94673.3256086002,2436005.63682807,2284932.34049053,2593183.81135912,298912.979920423,276418.090899369,323053.358969149
Kerala,2013,88489.6287637651,77971.7764664078,95960.1778378916,2515705.02034406,2362520.72502759,2675392.20649432,307963.466320326,284857.665982498,332690.77490427
Kerala,2014,87119.2632754279,77063.9890189065,94873.4612499589,2595921.64000429,2437219.87141829,2755927.48535739,316988.363957684,293275.347523164,342162.759198986
Kerala,2015,88929.1541975468,79095.8045384644,96870.7819242827,2672420.53667647,2512425.78821082,2834536.04502733,325436.04579751,301741.650559135,351328.731555692
Kerala,2016,91983.3503110822,80995.1315636115,101810.342124211,2746626.44707753,2578568.49399981,2920408.9208355,328969.66535847,302759.404314401,355670.029594088
Kerala,2017,95472.8145819996,82602.5429330325,107926.923738571,2819475.17142735,2638002.25922462,3005874.36992136,333122.192569033,305624.964187589,361021.412430385
Kerala,2018,98431.068476541,82083.6095302324,114763.052490929,2893060.03565511,2708914.20459795,3087311.9944434,343060.841765553,315015.56391816,370931.927585693
Kerala,2019,102233.703387164,83794.6083224303,120417.956346365,2961981.39335256,2764692.0396281,3160668.43694719,353482.279127823,324051.150249264,383604.959098945
Madhya Pradesh,2011,109802.863402935,96504.888924396,121549.139354284,2861924.19034493,2652391.8709926,3086320.64568523,367347.415222835,340006.319939436,397876.205732857
Madhya Pradesh,2012,116716.344178341,102781.942686644,129209.984264253,2993971.63659971,2779320.33753792,3220336.01057592,381737.100864324,353369.596597872,412332.26400506
Madhya Pradesh,2013,122495.716540421,108714.496289882,135406.197853246,3127683.33663364,2911525.49903116,3364630.19738412,396040.318176566,367128.818178154,426964.241828382
Madhya Pradesh,2014,124700.112251286,109615.103120084,138361.983711954,3256410.95745021,3033290.43214048,3503424.89350058,410064.009830923,380520.321588197,441312.427607345
