State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95
Mizoram,2020,734.9100939954715,716.7351034741911,753.0850845167519,707.113844668642,762.706343322301
Mizoram,2021,755.4708380892658,729.7675199980687,781.174156180463,716.1610053081596,794.7806708703721
Mizoram,2022,776.0315821830603,744.55157517312,807.5115891930006,727.8870660891395,824.1760982769812
Mizoram,2023,796.5923262768547,760.2423452342939,832.9423073194155,740.9998276231958,852.1848249305136
Mizoram,2024,817.1530703706492,776.5125560746519,857.7935846666464,754.9987673563256,879.3073733849727
Mizoram,2025,837.7138144644437,793.1943616073859,882.2332673215014,769.627186850531,905.8004420783564
Mizoram,2026,858.2745585582381,810.1880535579741,906.3610635585022,784.7325954591008,931.8165216573755
Mizoram,2027,878.8353026520325,827.4286664696382,930.2419388344268,800.2156370898199,957.4549682142451
Mizoram,2028,899.396046745827,844.8710751819858,953.9210183096682,816.0072987653385,982.7847947263155
Mizoram,2029,919.9567908396214,862.48242434040435,977.4311573388384,832.0573325569181,1007.8562491223246
Mizoram,2030,940.5175349334158,880.2379108060629,1000.7971590607688,848.3278053371536,1032.707264529678
Nagaland,2020,2495.3352116551587,2453.488117572602,2537.1823057377155,2431.3356040977237,2559.3348192125936
Nagaland,2021,2538.951972060567,2479.771244063112,2598.1327000580222,2448.442859066287,2629.4610850548474
Nagaland,2022,2582.5687324659757,2510.087439365872,2655.0500255660795,2471.718160512029,2693.4193044199224
Nagaland,2023,2626.1854928713847,2542.4913047062705,2709.879681036499,2498.1862777565148,2754.1847079862546
Nagaland,2024,2669.8022532767927,2576.229306247366,2763.3752003062195,2526.6947802450586,2812.909726308527
Nagaland,2025,2713.4190136822017,2610.9149859616955,2815.923041402708,2556.652631428116,2870.1853959362875
Nagaland,2026,2757.03577408761,2646.3187700544418,2867.7527781207787,2587.708728484907,2926.3628196903132
Nagaland,2027,2800.6525344930187,2682.2910784981086,2919.013990487929,2619.634308504458,2981.6707604815792
Nagaland,2028,2844.2692948984277,2718.7280126507567,2969.8105771460987,2652.2704722261224,3036.268117570733
Nagaland,2029,2887.8860553038357,2755.553924543601,3020.2181860640703,2685.5015260654154,3090.270584542256
Nagaland,2030,2931.5028157092447,2792.7117060707014,3070.293925347788,2719.2401307112386,3143.765500707251
Odisha,2020,76975.9277524078,74215.23805644138,79736.61744837424,72753.81720917294,81198.03829564268
